adid,n_interests,custom
6251105816233,0,0
23848738415440363,2,0
23849348067970347,0,0
23849082927570590,0,0
23848643024850285,0,0
23849289471130080,0,0
23848582710930466,0,0
23850152383960426,2,0
23848378636440195,0,0
23849631214930190,0,0
23848582710780466,0,0
23849350944360391,0,0
23848684355290788,0,0
23850112472810426,9,0
6242520792763,0,0
23848924286580606,0,1
6265168305544,0,0
23848804454030620,0,0
23848743409840170,0,0
23848622661740598,0,0
23848922506790720,2,0
23847954764010571,0,0
23848720522000054,0,0
23848730217920720,0,0
23849070800750736,0,0
23849143605960683,0,1
23848905148480711,3,0
23849162418350309,2,0
23849053060710714,0,1
23848738005510691,2,0
