adid	codes
23848702957510451	Healthcare
23848544806400137	Healthcare
23849282722030004	Benign
6280991102353	Benign
23848215644430561	Benign
23848909744440316	Benign
6260238820381	Benign
6239638371177	Benign
23849504369070331	Benign
23849453984890651	Financial
23848734164000676	Benign
6266786398911	Benign
6242800247494	Benign
6262414737229	Benign
6269556593768	Benign
6256640542725	Benign
6245567820137	Benign
6244452967922	Benign
23848590414670228	Benign
6250171416390	Benign
6268264507361	Benign
23848722072400755	Healthcare
6263494651760	Benign
6257449270367	Benign
23848567946530596	Benign
23849349724420585	Opportunity
23848413385420422	Benign
23847918504780231	Opportunity
23849668176570129	Benign
6286066587645	Benign
23847774983300054	Benign
23849303124070233	Benign
23848592796950724	Benign
23849070801650736	Benign
23848664366240101	Benign
23849137097620252	Healthcare
23848845509070353	Benign
6276453931566	Benign
23847239765590387	Benign
6258183712987	Benign
6254260560367	Benign
23849165754310153	Benign
6270725270768	Benign
23848866827520335	Benign
23849239160330534	Clickbait
23848925100340538	Benign
23849133624270323	Benign
23848738416770363	Healthcare
6285013568809	Benign
23849175794750563	Benign
6285299684824	Benign
23848467785820316	Benign
23848595565070569	Opportunity
6256035309735	Benign
23848981988730713	Benign
23848393783590425	Benign
23849378502520347	Benign
23848954231030566	Benign
23849199536010236	Benign
6274207853140	Benign
6259552865801	Benign
6288276008464	Benign
23848952558070198	Benign
23849048524070583	Benign
23848575325770573	Benign
23848219502450326	Benign
23848651484590345	Benign
23849072260200326	Benign
23849411746200541	Opportunity
23849240294450050	Clickbait
6255717073752	Benign
23849314846130556	Benign
23849568964280089	Benign
23849117424710346	Benign
23848760676250354	Benign
6247880456157	Benign
23849317448600058	Benign
23848747987120569	Benign
23849052072090753	Benign
23847114160630201	Benign
6274521631119	Benign
23848839829560474	Benign
23849629388550227	Benign
6268802701282	Opportunity
23848881180290711	Benign
23849439591030227	Benign
23848393781780425	Benign
23848521553310668	Clickbait
6249433776541	Benign
6265929342259	Benign
23849008124890061	Sensitive
23849245852970041	Benign
6262054890960	Opportunity
6288066308309	Benign
23848738391860502	Healthcare
6266650754944	Opportunity
6247887450530	Benign
23849211972940478	Benign
23849690416040728	Benign
23849110441030061	Sensitive
23848909713410232	Potentially Prohibited
23848880725160659	Benign
23848783762680465	Benign
23848296917550596	Benign
23848994453810161	Benign
23849143604740683	Benign
23844674087350617	Benign
6266459852540	Benign
23849035051900000	Benign
6250730318033	Benign
23849054930160198	Benign
6232119752977	Benign
6240292637026	Benign
23848802224320569	Benign
23847153602450116	Benign
23849003615790413	Benign
23849467693310777	Benign
6270061686568	Healthcare
23848745898130451	Benign
23849729033990459	Benign
23849414573000326	Benign
6253710638908	Benign
23849160702160616	Benign
6279045093382	Benign
23849266268510189	Benign
6262368551983	Opportunity
6261358636517	Benign
23849107017040310	Benign
23849360495590585	Benign
23849018981100429	Benign
6259113796370	Benign
23848491397450135	Benign
6266627069311	Benign
6258482903701	Benign
23849307808300250	Benign
23849775652060342	Benign
6280216595553	Benign
6259796224269	Benign
23848735212930608	Opportunity
23849194305820181	Benign
23848633801030786	Benign
6265097255108	Benign
23848357223680476	Benign
23847900167020112	Benign
23849021031180001	Benign
6265594943463	Benign
23849124847030565	Benign
23848738578150689	Benign
23848747034710572	Benign
23848708561930787	Benign
23848352181160529	Benign
23849108889550000	Healthcare
6251637367337	Benign
6276798698220	Benign
6255802115335	Benign
6262222163215	Benign
6262271233287	Benign
23848954834140110	Benign
23848878760230228	Benign
23848844964510465	Benign
6258018898885	Benign
23848744510870476	Benign
23849411979860160	Benign
23848378636440195	Healthcare
23848703045000473	Benign
23848654998040544	Benign
6194767005533	Benign
23849699091510298	Benign
6271906592835	Benign
23849190633290782	Healthcare
23849149119770472	Benign
6267736226001	Benign
6262420322970	Benign
23848905034820711	Benign
6263094719141	Opportunity
23848826743260559	Benign
23849211662560033	Benign
23848833801760516	Opportunity
23849482378830070	Benign
6266220235949	Benign
23849880068240746	Healthcare
23848697471620466	Benign
23848718134030051	Benign
23849160719080005	Healthcare
23849603166500658	Benign
23848821237720223	Benign
6260139621419	Opportunity
23848478007010784	Benign
23848914237070711	Benign
23848155319210561	Benign
23849364676570782	Benign
23848877840280564	Benign
23848719782900004	Benign
23848293692210471	Benign
6263837517110	Opportunity
23849745299210331	Benign
23849070801300736	Benign
6258304885801	Benign
23848289543030599	Benign
23849736634490587	Benign
23848847041490073	Benign
23848521124490470	Benign
23849073838850480	Benign
23848552069980701	Benign
23847392656350763	Benign
23848017842100688	Benign
23848774254690788	Benign
23849657570350244	Benign
23848560896290352	Benign
